,GEO_ID,County,State,FIPS,Population,SDOH Score,RUCC,IRR,SVI,Premature Mortality,Infant Mortality,Preventable Hospital Stays,Heart Disease Mortality,Poor or Fair Health
1010,0500000US19167,Sioux,IA,19167,36050.0,0.0,6,0.5175598936751682,0.1311,202.08493504,,1128.0,253.3,0.11
1044,0500000US08117,Summit,CO,8117,30565.0,1.746150824579451,5,0.5239468867785788,0.1696,153.32762814,,266.0,69.9,0.11
1025,0500000US46117,Stanley,SD,46117,2999.0,3.365530953716489,9,0.6472596874230022,0.0452,369.28849179,,1280.0,240.2,0.104
324,0500000US38025,Dunn,ND,38025,4015.0,3.4338079336146854,9,0.6314367404867132,0.4104,360.81363444,,1224.0,294.7,0.143
955,0500000US08107,Routt,CO,8107,25007.0,4.639295696601886,7,0.5740205416457317,0.1314,178.35409091,,623.0,108.9,0.103
746,0500000US33013,Merrimack,NH,33013,156020.0,5.997495276755571,4,0.4482001804798159,0.2109,314.66829642,4.03930131,2209.0,279.8,0.112
95,0500000US16013,Blaine,ID,16013,24866.0,7.722142186974834,7,0.5786043375342479,0.4025,209.44850246,,1048.0,165.1,0.13
743,0500000US38057,Mercer,ND,38057,8333.0,7.824004698534698,8,0.5784238542955716,0.3296,326.03344256,,2446.0,249.9,0.139
445,0500000US46057,Hamlin,SD,46057,6352.0,8.147573116125418,9,0.5874110998696143,0.1336,338.18791693,,2785.0,279.8,0.115
126,0500000US38013,Burke,ND,38013,2155.0,8.806285478141534,8,0.6614609974283655,0.0363,273.99946421,,1721.0,237.8,0.123
693,0500000US19125,Marion,IA,19125,33642.0,9.455577635315986,6,0.5068561270188408,0.099,336.2978092,,1470.0,325.5,0.115
883,0500000US08097,Pitkin,CO,8097,16876.0,9.460672137655306,7,0.5697726385091253,0.0617,123.25869547,,660.0,113.1,0.089
1027,0500000US31167,Stanton,NE,31167,5717.0,9.498535322066799,9,0.5710823729866757,0.0054,278.21620548,,1831.0,319.0,0.121
12,0500000US50001,Addison,VT,50001,37578.0,10.140682773011573,6,0.5090030101024007,0.139,253.96643041,,1663.0,330.1,0.103
328,0500000US08037,Eagle,CO,8037,55285.0,10.392363781535103,5,0.5317642859339025,0.3497,169.70392912,,808.0,99.8,0.121
727,0500000US38055,McLean,ND,38055,9824.0,10.418827377522833,8,0.5930632802643898,0.0662,382.37355135,,1261.0,325.7,0.132
79,0500000US33001,Belknap,NH,33001,64781.0,10.469782283591972,4,0.4676433235113331,0.1454,370.12737936,,2146.0,296.8,0.119
547,0500000US55055,Jefferson,WI,55055,85784.0,10.59407784981256,4,0.462919490706546,0.1276,327.49086693,4.1848299913,2472.0,335.7,0.12
1002,0500000US20179,Sheridan,KS,20179,2425.0,10.712595746443471,9,0.6533912096033393,0.0706,401.5899731,,4361.0,307.9,0.127
313,0500000US55027,Dodge,WI,55027,88282.0,10.814896688381298,4,0.473760886359018,0.1584,362.04026762,4.9459607987,2017.0,395.3,0.13
1206,0500000US46135,Yankton,SD,46135,23373.0,10.841175126319374,7,0.5290901986596896,0.2014,350.69021607,,1986.0,343.9,0.117
1042,0500000US46119,Sully,SD,46119,1471.0,10.902569148331908,9,0.6659301950262895,0.027,,,2576.0,255.0,0.11
1185,0500000US38105,Williams,ND,38105,38109.0,10.93041712958529,5,0.589241571147382,0.5062,376.28224833,4.3720190779,1580.0,296.9,0.138
608,0500000US32015,Lander,NV,32015,5766.0,11.221921870248153,9,0.657998219529959,0.5762,532.16963604,,599.0,393.1,0.201
731,0500000US20113,McPherson,KS,20113,30012.0,11.274574793722447,7,0.5246213902826875,0.1635,371.04820194,,2058.0,305.9,0.13
150,0500000US33003,Carroll,NH,33003,52199.0,11.361808695673531,6,0.5083128182586738,0.1406,299.58198194,,1730.0,263.2,0.115
519,0500000US53029,Island,WA,53029,86625.0,12.159106592514203,4,0.4195929509539703,0.3032,291.84291337,5.1905920519,1279.0,252.6,0.126
333,0500000US17049,Effingham,IL,17049,34325.0,12.172768716279997,7,0.5061411307490743,0.2081,351.17002723,7.2738772929,2792.0,307.1,0.14
287,0500000US30021,Dawson,MT,30021,8830.0,12.353667797535733,7,0.6155170326144571,0.0764,454.47860331,,2427.0,244.8,0.131
507,0500000US46069,Hyde,SD,46069,1184.0,12.5984266904338,9,0.6649741906761626,0.0153,428.11244394,,1962.0,316.5,0.118
936,0500000US49033,Rich,UT,49033,2628.0,12.820151977844768,8,0.63692823154868,0.2141,278.39828406,,,278.4,0.135
898,0500000US55097,Portage,WI,55097,70718.0,13.01627134544383,4,0.480350569182192,0.1063,286.30784805,4.6113306983,2149.0,301.8,0.121
377,0500000US16043,Fremont,ID,16043,13978.0,13.156164689931227,8,0.5880863042843507,0.5504,314.96666134,,1357.0,381.2,0.149
412,0500000US20067,Grant,KS,20067,7197.0,13.409483732434524,7,0.5969682929280105,0.3363,379.90476215,,2928.0,258.7,0.167
106,0500000US49003,Box Elder,UT,49003,61498.0,13.632685172374542,4,0.5544140408965311,0.1215,348.32564436,3.7794193438,1114.0,378.4,0.133
316,0500000US55029,Door,WI,55029,30526.0,13.655059202004932,6,0.5152220139980095,0.0525,260.14827344,,1448.0,281.5,0.113
829,0500000US55085,Oneida,WI,55085,38212.0,13.685807294513413,7,0.5202242994623958,0.036,325.46372503,,2188.0,339.1,0.124
280,0500000US37055,Dare,NC,37055,37956.0,13.90728246577394,4,0.5013198071419804,0.2071,343.96451672,,1296.0,273.8,0.111
