Complete County Name,State Abbreviation,5-digit FIPS Code,RUCC_2023,RADI (PCA),RADI (PCA)_tiers_percentile,RADI (PCA)_tiers_quantile,RADI (PCA with IRR),RADI (PCA with IRR)_tiers_percentile,RADI (PCA with IRR)_tiers_quantile,RADI (Autoencoder),RADI (Autoencoder)_tiers_percentile,RADI (Autoencoder)_tiers_quantile,RADI (Autoencoder with IRR),RADI (Autoencoder with IRR)_tiers_percentile,RADI (Autoencoder with IRR)_tiers_quantile
Abbeville County,SC,45001,6.0,41.82995370069281,Tier 3,Tier 4,41.15596895221652,Tier 3,Tier 3,19.925316,Tier 2,Tier 4,76.77864,Tier 5,Tier 4
Accomack County,VA,51001,9.0,40.97459034726649,Tier 3,Tier 3,40.057507331474646,Tier 3,Tier 3,21.118004,Tier 2,Tier 5,76.235985,Tier 5,Tier 4
Adair County,KY,21001,7.0,41.75965524958275,Tier 3,Tier 4,41.61327327303637,Tier 3,Tier 4,20.138382,Tier 2,Tier 4,77.424095,Tier 5,Tier 4
Adair County,MO,29001,7.0,45.59210361214524,Tier 3,Tier 4,44.7504836678721,Tier 3,Tier 4,21.184769,Tier 2,Tier 5,75.770355,Tier 5,Tier 4
Adair County,OK,40001,8.0,72.22365557061023,Tier 5,Tier 6,71.15630936210182,Tier 5,Tier 6,7.2495575,Tier 1,Tier 1,28.349709,Tier 2,Tier 1
Adams County,ID,16003,9.0,36.902371110631975,Tier 3,Tier 3,39.333589153837586,Tier 3,Tier 3,19.342598,Tier 2,Tier 4,88.39293,Tier 6,Tier 6
Adams County,IL,17001,5.0,21.040017980672207,Tier 2,Tier 1,19.834239105353372,Tier 2,Tier 1,22.896362,Tier 2,Tier 6,79.16075,Tier 5,Tier 5
Adams County,MS,28001,7.0,68.78466116607095,Tier 5,Tier 6,67.19311992039778,Tier 5,Tier 6,7.250229,Tier 1,Tier 1,26.181343,Tier 2,Tier 1
Adams County,NE,31001,4.0,18.19684018659786,Tier 2,Tier 1,17.207786737147536,Tier 2,Tier 1,25.612152,Tier 2,Tier 6,78.16618,Tier 5,Tier 5
Adams County,OH,39001,8.0,51.779753277108945,Tier 4,Tier 5,50.96690549040114,Tier 4,Tier 5,13.504471,Tier 1,Tier 2,67.42909,Tier 5,Tier 3
Adams County,WA,53001,6.0,43.00504867401553,Tier 3,Tier 4,42.91315010638458,Tier 3,Tier 4,20.459145,Tier 2,Tier 4,75.66016,Tier 5,Tier 4
Adams County,WI,55001,8.0,43.70365594080201,Tier 3,Tier 4,44.08235804390303,Tier 3,Tier 4,17.652962,Tier 2,Tier 3,51.786976,Tier 4,Tier 2
Addison County,VT,50001,6.0,10.643763875111233,Tier 1,Tier 1,10.434386747365314,Tier 1,Tier 1,21.728882,Tier 2,Tier 5,82.61087,Tier 5,Tier 6
Alamosa County,CO,8003,7.0,34.79472116770495,Tier 3,Tier 3,34.63352534625094,Tier 3,Tier 3,48.35328,Tier 3,Tier 6,77.34483,Tier 5,Tier 4
Albany County,WY,56001,4.0,34.499579843096846,Tier 3,Tier 3,33.51806478401132,Tier 3,Tier 3,34.463715,Tier 3,Tier 6,76.477325,Tier 5,Tier 4
Alcona County,MI,26001,9.0,50.54669105109093,Tier 4,Tier 5,51.865906157491104,Tier 4,Tier 5,17.764977,Tier 2,Tier 3,55.384403,Tier 4,Tier 2
Alcorn County,MS,28003,7.0,54.41309015130352,Tier 4,Tier 5,52.85630267075712,Tier 4,Tier 5,10.588058,Tier 1,Tier 2,71.88662,Tier 5,Tier 3
Alfalfa County,OK,40003,8.0,27.76058976147271,Tier 2,Tier 2,29.724212108217053,Tier 2,Tier 2,19.073364,Tier 2,Tier 3,83.77424,Tier 6,Tier 6
Allegan County,MI,26005,4.0,13.68978047480608,Tier 1,Tier 1,12.161424180266328,Tier 1,Tier 1,22.61419,Tier 2,Tier 6,79.43722,Tier 5,Tier 5
Allegany County,MD,24001,4.0,38.683534610705024,Tier 3,Tier 3,35.96005847784259,Tier 3,Tier 3,22.598679,Tier 2,Tier 6,77.65439,Tier 5,Tier 5
Allegany County,NY,36003,7.0,35.5788370165087,Tier 3,Tier 3,34.784785302631825,Tier 3,Tier 3,21.349915,Tier 2,Tier 5,78.34591,Tier 5,Tier 5
Alleghany County,NC,37005,9.0,48.77316328850046,Tier 3,Tier 4,49.21826353715365,Tier 3,Tier 4,17.434944,Tier 2,Tier 3,64.13739,Tier 4,Tier 2
Alleghany County,VA,51005,6.0,34.14395174077504,Tier 3,Tier 3,34.79155079370869,Tier 3,Tier 3,19.234482,Tier 2,Tier 3,78.19295,Tier 5,Tier 5
Allen County,KS,20001,7.0,31.661339109239854,Tier 2,Tier 2,32.1144162507282,Tier 2,Tier 2,20.251251,Tier 2,Tier 4,80.43387,Tier 5,Tier 6
Allen Parish,LA,22003,6.0,51.81998427899601,Tier 4,Tier 5,50.817835599134085,Tier 4,Tier 5,11.241638,Tier 1,Tier 2,69.78993,Tier 5,Tier 3
Allendale County,SC,45005,8.0,86.23930522794898,Tier 6,Tier 6,85.30529102423444,Tier 6,Tier 6,5.307205,Tier 1,Tier 1,12.715706,Tier 1,Tier 1
Alpena County,MI,26007,7.0,39.51563306547269,Tier 3,Tier 3,39.38800260665529,Tier 3,Tier 3,19.94078,Tier 2,Tier 4,84.147675,Tier 6,Tier 6
Amador County,CA,6005,6.0,19.62232025551125,Tier 2,Tier 1,18.71282387309363,Tier 2,Tier 1,22.765991,Tier 2,Tier 6,78.963066,Tier 5,Tier 5
Amite County,MS,28005,8.0,78.16322174724979,Tier 5,Tier 6,78.00699573885427,Tier 5,Tier 6,9.561989,Tier 1,Tier 1,32.65065,Tier 2,Tier 1
Anderson County,KS,20003,8.0,37.43298722854556,Tier 3,Tier 3,38.44370509435065,Tier 3,Tier 3,18.801323,Tier 2,Tier 3,69.17467,Tier 5,Tier 3
Anderson County,KY,21005,6.0,21.865014802052297,Tier 2,Tier 1,21.47988924500565,Tier 2,Tier 1,20.550064,Tier 2,Tier 4,82.61203,Tier 5,Tier 6
Anderson County,TX,48001,7.0,42.56878944036169,Tier 3,Tier 4,41.28071104891832,Tier 3,Tier 4,11.556755,Tier 1,Tier 2,75.263245,Tier 5,Tier 3
Angelina County,TX,48005,5.0,40.8845306129037,Tier 3,Tier 3,38.69675908711756,Tier 3,Tier 3,23.402718,Tier 2,Tier 6,75.263245,Tier 5,Tier 3
Antrim County,MI,26009,8.0,30.389538695018746,Tier 2,Tier 2,31.148391677637132,Tier 2,Tier 2,19.387924,Tier 2,Tier 4,85.0041,Tier 6,Tier 6
Apache County,AZ,4001,8.0,96.79228199093394,Tier 6,Tier 6,96.57793395206798,Tier 6,Tier 6,5.7940216,Tier 1,Tier 1,16.015167,Tier 1,Tier 1
Appanoose County,IA,19007,7.0,44.4261583151663,Tier 3,Tier 4,44.89546440860811,Tier 3,Tier 4,19.29184,Tier 2,Tier 4,70.58364,Tier 5,Tier 3
Appling County,GA,13001,7.0,56.47054450324946,Tier 4,Tier 5,55.83365278688299,Tier 4,Tier 5,10.236534,Tier 1,Tier 1,74.05762,Tier 5,Tier 3
Archuleta County,CO,8007,7.0,20.28422990115007,Tier 2,Tier 1,22.09978451558762,Tier 2,Tier 1,20.630257,Tier 2,Tier 4,85.061005,Tier 6,Tier 6
Arenac County,MI,26011,8.0,43.49154162700906,Tier 3,Tier 4,43.46829446189039,Tier 3,Tier 4,19.191162,Tier 2,Tier 3,63.118023,Tier 4,Tier 2
Arkansas County,AR,5001,6.0,43.6475401252933,Tier 3,Tier 4,43.25737284429209,Tier 3,Tier 4,21.980331,Tier 2,Tier 5,76.520004,Tier 5,Tier 4
Aroostook County,ME,23003,7.0,39.4031779343173,Tier 3,Tier 3,39.00623784776649,Tier 3,Tier 3,26.30886,Tier 2,Tier 6,77.783325,Tier 5,Tier 5
Ashe County,NC,37009,9.0,39.34012888751154,Tier 3,Tier 3,39.54167961903116,Tier 3,Tier 3,18.668022,Tier 2,Tier 3,76.3509,Tier 5,Tier 4
Ashland County,OH,39005,6.0,29.555013543739005,Tier 2,Tier 2,28.17795190069211,Tier 2,Tier 2,21.263626,Tier 2,Tier 5,78.39547,Tier 5,Tier 5
Ashland County,WI,55003,7.0,35.288962052999004,Tier 3,Tier 3,35.853707187631834,Tier 3,Tier 3,20.74459,Tier 2,Tier 4,81.91177,Tier 5,Tier 6
Ashley County,AR,5003,7.0,63.05903072427845,Tier 4,Tier 6,62.17708540905833,Tier 4,Tier 6,9.67186,Tier 1,Tier 1,32.99874,Tier 2,Tier 1
Atchison County,KS,20005,6.0,31.20581284857158,Tier 2,Tier 2,30.95747286739349,Tier 2,Tier 2,21.234451,Tier 2,Tier 5,77.98307,Tier 5,Tier 5
Athens County,OH,39009,4.0,45.68322480624686,Tier 3,Tier 4,42.747134433660335,Tier 3,Tier 4,35.164124,Tier 3,Tier 6,76.26774,Tier 5,Tier 4
Atkinson County,GA,13003,9.0,60.81680232824252,Tier 4,Tier 6,61.62901390890154,Tier 4,Tier 6,10.731422,Tier 1,Tier 2,42.12602,Tier 3,Tier 1
Atoka County,OK,40005,9.0,58.076672033111244,Tier 4,Tier 5,58.35040540433696,Tier 4,Tier 5,12.232285,Tier 1,Tier 2,48.373413,Tier 3,Tier 2
Audrain County,MO,29007,6.0,37.46664230197974,Tier 3,Tier 3,36.99582929193117,Tier 3,Tier 3,20.608604,Tier 2,Tier 4,76.733116,Tier 5,Tier 4
Aurora County,SD,46003,9.0,19.170935006177288,Tier 2,Tier 1,22.10108639937109,Tier 2,Tier 1,19.675522,Tier 2,Tier 4,91.59282,Tier 6,Tier 6
Avery County,NC,37011,9.0,34.35729937615943,Tier 3,Tier 3,34.32051325292786,Tier 3,Tier 3,19.488197,Tier 2,Tier 4,77.10351,Tier 5,Tier 4
Avoyelles Parish,LA,22009,6.0,65.26413933984217,Tier 4,Tier 6,63.27515050797068,Tier 4,Tier 6,8.223251,Tier 1,Tier 1,33.80475,Tier 3,Tier 1
Baca County,CO,8009,9.0,45.02346219027341,Tier 3,Tier 4,47.46793895744011,Tier 3,Tier 4,17.84938,Tier 2,Tier 3,89.51776,Tier 6,Tier 6
Bacon County,GA,13005,9.0,51.798572449440904,Tier 4,Tier 5,52.10425112847902,Tier 4,Tier 5,12.154564,Tier 1,Tier 2,67.924576,Tier 5,Tier 3
Baker County,GA,13007,8.0,71.78155137694634,Tier 5,Tier 6,72.83945105203404,Tier 5,Tier 6,10.643127,Tier 1,Tier 2,30.46637,Tier 2,Tier 1
Baldwin County,GA,13009,4.0,47.25350112862219,Tier 3,Tier 4,44.34316025134625,Tier 3,Tier 4,10.967758,Tier 1,Tier 2,75.263245,Tier 5,Tier 3
Bamberg County,SC,45009,9.0,71.06297674030554,Tier 5,Tier 6,70.15302402022338,Tier 5,Tier 6,9.249451,Tier 1,Tier 1,24.47293,Tier 2,Tier 1
Banks County,GA,13011,8.0,32.61552788337377,Tier 2,Tier 2,32.81996343023207,Tier 2,Tier 2,18.348671,Tier 2,Tier 3,70.92086,Tier 5,Tier 3
Barbour County,AL,1005,6.0,64.28040404941686,Tier 4,Tier 6,63.028123669620285,Tier 4,Tier 6,8.867004,Tier 1,Tier 1,30.473839,Tier 2,Tier 1
Barbour County,WV,54001,9.0,48.741348837753215,Tier 3,Tier 4,49.01332372525665,Tier 3,Tier 4,16.285614,Tier 1,Tier 3,65.04231,Tier 4,Tier 2
Barnes County,ND,38003,6.0,14.75348420069771,Tier 1,Tier 1,15.812112907819564,Tier 1,Tier 1,21.365883,Tier 2,Tier 5,85.50211,Tier 6,Tier 6
Barnwell County,SC,45011,8.0,72.24094909584893,Tier 5,Tier 6,70.99988407434925,Tier 5,Tier 6,7.865402,Tier 1,Tier 1,26.459373,Tier 2,Tier 1
