GEO_ID,County,State,FIPS,RUCC,IRR,SVI,TotalPopulation,ZIRR,ZNegMedianIncome,ZNoInternet,ZNoCollege,ZNegMentalHealthProviders,Znonwhite,ZPoverty18-64,ZLackingCompletePlumbing,Z65+,ZLessThanHighSchool,ZNoVehicle,ZHousingcostBurden,ZratioPCP,Zunemployed,Zuninsured,ZLongCommute,Zdrinkingwaterviolations,ZNaturalDisasterRisk,Zfoodinsecurity,HeartDiseaseMortality,PreventableHospitalStays,PoororFairHealth,InfantMortality,PrematureMortality
0500000US45001,Abbeville,SC,45001,6,0.495789711,0.5988,24356,-0.458492599,0.424095467,0.450097332,0.176784693,0.561644023,0.476440453,-0.594099494,-0.170065294,0.386083445,0.084147864,-0.226410503,-0.094032476,-0.464379778,-0.037064495,0.214250014,1.095723492,1.342122145,-0.256728779,-0.996067585,354.9,2519,0.2,,564.9413825
0500000US51001,Accomack,VA,51001,9,0.502969363,0.8597,33191,-0.295107707,-0.034426797,-0.163384036,1.19010019,0.241384241,0.93149952,-0.694386936,0.13708661,0.983930617,-0.797401183,0.386482252,0.29815307,-0.1121085,-0.497386356,0.244999421,-0.588575414,1.342122145,1.714258047,-0.967701614,421.9,2002,0.205,9.471191792,536.9606503
0500000US21001,Adair,KY,21001,7,0.493825024,0.6026,19067,-0.503202303,0.576936221,-0.299531397,0.310939003,-0.433230808,-0.71212882,0.158056325,-0.034502241,-0.275785848,-0.880790958,-0.187649124,-0.621515703,0.284933624,0.483134133,-0.884771837,-0.438663993,-0.744471872,-0.357805026,0.166937261,430.1,3499,0.226,,540.4980137
0500000US29001,Adair,MO,29001,7,0.518924543,0.4006,25165,0.067978925,0.043610493,-0.201521596,2.139054257,-0.515045134,-0.604498934,1.74594083,0.65206178,-1.253555264,-1.393042431,0.041254427,0.438671999,-0.971192767,-0.716277776,0.313255453,-1.355769157,1.342122145,0.241256636,-0.059990514,309.1,2520,0.192,,473.6320645
0500000US40001,Adair,OK,40001,8,0.507334022,0.9472,19576,-0.19578263,0.771646492,3.377391593,0.775356063,-0.327606419,2.053326654,0.559206095,0.241277662,-1.111490243,-0.368539485,0.828706342,0.062354319,0.32260944,-0.438585123,1.615024984,0.619534273,-0.744471872,0.810735006,1.244844192,624.1,5556,0.289,9.541984733,722.921916
0500000US16003,Adams,ID,16003,9,0.601919078,0.2017,4817,1.95665737,-0.186416545,0.761793268,-1.068813085,0.55837879,-0.513435439,-0.360095461,-0.624588652,1.817280104,-0.42810361,-1.984686577,0.135973513,-0.592370924,1.04327251,-0.023474245,-0.923671532,-0.744471872,0.216603892,-0.315284261,214.4,1260,0.157,,345.9521103
0500000US17001,Adams,IL,17001,5,0.488515586,0.2965,64725,-0.624027393,-0.669447794,-0.581646497,-0.268395079,-0.611448923,-0.739146514,-0.878247248,-0.843314142,-0.140720513,-1.095221807,0.456567402,-0.607747297,-0.821576196,-0.459934953,-1.300317467,-1.311677563,1.342122145,0.223999715,-1.052799529,298.1,3987,0.148,6.163886875,410.6205973
0500000US28001,Adams,MS,28001,7,0.504368896,0.971,28408,-0.263259,1.433559292,-0.263444868,-0.221665663,0.27129824,2.11492062,1.61222424,1.281387883,0.277008978,0.882307136,0.664263636,1.13383923,-0.684298398,0.955515466,0.886660747,-1.064764634,-0.744471872,0.350961343,1.52850391,382.6,3185,0.273,9.51986755,623.1534064
0500000US31001,Adams,NE,31001,4,0.518310629,0.4769,30970,0.05400829,-0.730550055,-0.942813675,-1.266732323,-1.050004016,-0.402126351,-0.627528641,-1.141214717,-0.516790971,-0.928442258,-0.29917844,0.038402124,-0.761818108,-1.300340128,-0.613659791,-1.355769157,1.342122145,1.228599005,-0.598943979,300.6,1850,0.13,7.997091967,387.8813038
0500000US39001,Adams,OH,39001,8,0.525320322,0.6516,27420,0.213525479,0.644591232,-0.039119724,0.483751459,-0.110495854,-1.027030522,0.241629193,0.139272359,-0.494953463,-0.368539485,0.220612667,0.051200487,-0.297882057,1.121814113,-0.559895156,1.395546334,-0.744471872,0.349728706,0.961184473,511,3402,0.206,,653.9583458
0500000US53001,Adams,WA,53001,6,0.434600337,0.98,20961,-1.850958403,-0.676255845,-0.775724345,2.232109141,-0.002395634,1.687565696,0.174770898,-0.658012878,-2.036833027,0.715527586,-0.524978399,-0.30320381,-0.043574025,0.939389964,0.842474896,-0.332844167,-0.744471872,-0.212353841,-0.655675923,299.9,1157,0.249,,375.2928271
0500000US55001,Adams,WI,55001,8,0.514923451,0.5259,21226,-0.023072576,-0.17509816,-0.112586774,-0.228644806,0.518851538,-0.57490236,-0.376810035,0.204827753,2.285724752,-0.249411235,-0.451480884,0.525894268,2.884369467,0.682225125,-0.821218022,1.03399526,1.342122145,-0.355339752,-0.627309951,300.2,1376,0.16,,447.8385205
0500000US50001,Addison,VT,50001,6,0.486601731,0.139,37578,-0.667580337,-2.670674511,-1.283603131,1.796424798,-0.790805035,-0.684430542,-1.346255312,-0.905203497,0.259696634,-1.58364763,-0.803413886,0.396254199,-0.848177129,-1.149683689,-1.634471036,0.831173926,-0.744471872,-1.131901166,-1.648484938,330.1,1663,0.103,,253.9664304
0500000US08003,Alamosa,CO,8003,7,0.541179334,0.8253,16592,0.574423637,0.480857596,-1.318332543,-0.635624492,-5.850390451,0.912366064,0.291772915,-0.158116536,-1.366953942,-1.035657682,0.314264725,-0.34157644,-0.655978175,-0.223210081,0.250418007,-1.673228637,1.342122145,-0.42560007,-0.286918289,286.4,2015,0.197,,549.1650425
0500000US56001,Albany,WY,56001,4,0.503266146,0.2533,38031,-0.288353901,-0.237051428,-1.491957279,1.266699135,-2.084569982,-0.340062008,1.461793077,-0.864331216,-1.748544891,-1.79807848,0.326349449,2.909660447,-0.704955432,-0.614456552,0.192182957,-1.973051479,-0.744471872,-0.096485947,-0.230186345,261.1,1462,0.133,,326.4060567
0500000US26001,Alcona,MI,26001,9,0.565385649,0.1298,10417,1.125278527,0.300188931,0.020517699,-0.788565147,0.354267809,-0.83758537,0.107912603,1.087277866,3.339120116,0.751266061,-0.808172185,-0.135794148,-0.394872529,2.336556878,-0.773287585,0.24916488,-0.744471872,-1.642212952,0.507328923,458.9,2314,0.163,,489.2036277
0500000US28003,Alcorn,MS,28003,7,0.483165862,0.8944,34204,-0.745769244,0.654548008,0.853210267,-0.273286722,-0.649764952,-0.19698543,0.158056325,0.359642163,-0.420866689,-0.344713835,1.457120894,-0.008002307,-0.29992739,-0.249622256,0.519907911,-0.46511895,-0.744471872,0.954953554,1.358308079,507.9,4218,0.221,10.48714479,601.5008681
0500000US40003,Alfalfa,OK,40003,8,0.565023073,0.3048,5637,1.117027504,-0.916920463,-0.842618287,-0.518543852,0.768249306,-0.295456498,-0.777959805,0.583162803,-0.154371948,0.560660862,-1.37871686,-1.714603567,-0.079083537,-1.473397086,0.922194968,-0.500392225,1.342122145,-0.837300883,-0.712407867,451.9,1895,0.178,,393.2356442
0500000US26005,Allegan,MI,26005,4,0.441979159,0.1677,121210,-1.683041055,-1.970891925,-1.260138148,0.001814167,0.342580755,-0.602216069,-1.312826165,-0.992134062,-0.677300121,-0.023067561,-1.391480627,-1.1381617,0.695928307,-0.155431013,-1.217817019,0.072798502,1.342122145,0.203044884,-1.251361332,330.2,2098,0.148,4.574166848,355.5669143
0500000US24001,Allegany,MD,24001,4,0.454887224,0.5552,67267,-1.38929661,-0.025321028,-0.405365322,0.319339282,-1.004467446,-0.540267817,0.258343767,-0.021598172,0.062454753,-0.988006383,1.143270388,0.07767353,-0.459608838,0.08561313,-1.202404361,-0.906034894,-0.744471872,-0.113742868,0.478962951,456.4,2768,0.168,8.026755853,520.0641221
