"GEO_ID","NAME","B28002_001E","B28002_001M","B28002_002E","B28002_002M","B28002_003E","B28002_003M","B28002_004E","B28002_004M","B28002_005E","B28002_005M","B28002_006E","B28002_006M","B28002_007E","B28002_007M","B28002_008E","B28002_008M","B28002_009E","B28002_009M","B28002_010E","B28002_010M","B28002_011E","B28002_011M","B28002_012E","B28002_012M","B28002_013E","B28002_013M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!With an Internet subscription","Margin of Error!!Total:!!With an Internet subscription","Estimate!!Total:!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Broadband of any type","Margin of Error!!Total:!!With an Internet subscription!!Broadband of any type","Estimate!!Total:!!With an Internet subscription!!Cellular data plan","Margin of Error!!Total:!!With an Internet subscription!!Cellular data plan","Estimate!!Total:!!With an Internet subscription!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL","Margin of Error!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL","Estimate!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL!!Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL!!Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Satellite Internet service","Margin of Error!!Total:!!With an Internet subscription!!Satellite Internet service","Estimate!!Total:!!With an Internet subscription!!Satellite Internet service!!Satellite Internet service with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Satellite Internet service!!Satellite Internet service with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Other service with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Other service with no other type of Internet subscription","Estimate!!Total:!!Internet access without a subscription","Margin of Error!!Total:!!Internet access without a subscription","Estimate!!Total:!!No Internet access","Margin of Error!!Total:!!No Internet access",
"0500000US01001","Autauga County, Alabama","22523","431","20484","467","15","25","20469","461","18562","628","2836","399","16362","588","1477","376","1851","391","346","190","63","72","320","128","1719","374",
"0500000US01003","Baldwin County, Alabama","94642","1316","85082","1658","140","93","84942","1671","79922","1609","14592","1295","65552","1689","3823","563","10231","842","569","176","27","33","1804","352","7756","843",
"0500000US01005","Barbour County, Alabama","9080","315","6565","336","0","25","6565","336","6024","370","1847","278","3944","304","474","158","932","192","47","36","7","10","658","229","1857","250",
"0500000US01007","Bibb County, Alabama","7571","288","6160","344","16","30","6144","347","5865","355","1773","269","3189","389","167","128","1295","250","86","66","26","46","127","79","1284","259",
"0500000US01009","Blount County, Alabama","21977","403","18551","527","106","78","18445","520","16238","508","4719","581","11749","671","1650","338","2655","405","240","87","13","12","392","129","3034","368",
"0500000US01011","Bullock County, Alabama","3453","245","2260","294","16","27","2244","301","1859","290","434","127","1539","259","369","149","301","141","16","27","0","21","229","118","964","229",
"0500000US01013","Butler County, Alabama","7262","313","5798","340","6","10","5792","341","5020","294","1432","222","3861","321","655","176","606","129","84","62","23","21","352","114","1112","175",
"0500000US01015","Calhoun County, Alabama","45125","708","38509","765","0","31","38509","765","33944","877","7417","781","28673","1079","3878","566","3781","441","515","193","12","18","1161","263","5455","477",
"0500000US01017","Chambers County, Alabama","13419","476","10616","553","47","39","10569","549","9690","505","1724","302","8298","549","855","215","1011","252","11","18","7","16","351","159","2452","375",
"0500000US01019","Cherokee County, Alabama","10477","416","8442","466","36","40","8406","466","7701","478","2146","354","4966","430","421","137","1568","274","177","92","24","32","259","125","1776","337",
"0500000US01021","Chilton County, Alabama","17554","415","14464","526","47","40","14417","517","13432","584","4284","581","9112","603","875","296","1367","303","80","78","0","28","228","137","2862","428",
"0500000US01023","Choctaw County, Alabama","5174","261","3723","264","11","12","3712","264","3378","280","1116","212","2027","221","215","79","704","151","23","24","35","39","207","111","1244","224",
"0500000US01025","Clarke County, Alabama","8452","367","6014","384","14","18","6000","383","5337","368","1551","255","3242","320","306","144","1589","221","259","83","0","25","383","154","2055","313",
"0500000US01027","Clay County, Alabama","5765","262","4501","323","18","17","4483","324","3598","327","1019","199","2897","288","686","185","692","167","184","101","0","21","80","64","1184","216",
"0500000US01029","Cleburne County, Alabama","5849","215","4396","310","0","21","4396","310","3910","334","1842","256","2223","280","360","150","481","153","94","56","6","11","103","60","1350","229",
"0500000US01031","Coffee County, Alabama","20860","435","18152","434","29","52","18123","434","16613","500","3163","310","13852","432","1239","242","1783","270","98","48","2","3","510","163","2198","283",
"0500000US01033","Colbert County, Alabama","24217","489","19162","698","64","51","19098","697","17396","788","4102","563","13739","738","1525","296","1911","359","58","44","8","11","887","220","4168","474",
"0500000US01035","Conecuh County, Alabama","4528","265","3096","262","14","15","3082","264","2839","280","1546","282","1053","210","184","75","574","163","46","32","0","21","44","33","1388","231",
"0500000US01037","Coosa County, Alabama","4201","203","3377","251","0","21","3377","251","2809","265","777","172","2040","259","357","143","674","170","146","84","29","36","97","47","727","192",
"0500000US01039","Covington County, Alabama","14495","307","11507","450","71","45","11436","447","10361","453","3302","313","7223","381","832","192","1178","197","124","75","33","22","344","126","2644","389",
"0500000US01041","Crenshaw County, Alabama","5075","176","3469","187","18","15","3451","184","3111","192","870","149","2274","189","287","78","425","113","40","25","0","21","277","116","1329","195",
"0500000US01043","Cullman County, Alabama","34543","607","29619","715","32","31","29587","718","26916","786","6401","640","20521","694","2123","385","3474","450","193","90","34","30","585","173","4339","506",
"0500000US01045","Dale County, Alabama","19769","356","16723","505","25","25","16698","504","15618","516","3763","393","11860","493","885","162","1930","275","152","79","4","8","527","168","2519","370",
"0500000US01047","Dallas County, Alabama","15416","426","12231","608","8","11","12223","608","11229","567","3554","476","6734","535","658","173","2232","355","229","101","36","43","309","110","2876","422",
"0500000US01049","DeKalb County, Alabama","25946","462","22154","591","26","27","22128","592","20862","633","5221","601","15482","709","971","247","1926","313","204","139","42","38","482","145","3310","331",
"0500000US01051","Elmore County, Alabama","32529","559","29374","698","76","80","29298","688","25950","818","3181","415","24757","723","3107","555","1681","308","146","80","33","26","500","177","2655","479",
"0500000US01053","Escambia County, Alabama","12781","438","9642","460","6","11","9636","460","8529","470","3914","417","4346","429","736","234","1635","266","323","140","18","23","126","63","3013","400",
"0500000US01055","Etowah County, Alabama","39160","581","33315","681","44","50","33271","693","31202","720","6757","575","23696","879","1788","317","3999","481","109","54","11","18","1074","272","4771","476",
"0500000US01057","Fayette County, Alabama","6051","253","4709","250","0","21","4709","250","4090","269","1064","196","3055","256","472","135","652","163","95","61","37","55","174","125","1168","171",
"0500000US01059","Franklin County, Alabama","11593","368","7684","448","0","28","7684","448","6863","417","2687","405","4177","394","696","222","995","171","82","58","0","28","408","165","3501","427",
"0500000US01061","Geneva County, Alabama","10550","270","8125","371","44","40","8081","378","7539","358","2209","303","5006","426","453","135","1180","223","50","37","0","25","431","175","1994","330",
"0500000US01063","Greene County, Alabama","3037","199","1845","226","11","15","1834","227","1746","227","448","128","1106","214","37","51","443","126","45","38","6","11","221","133","971","160",
"0500000US01065","Hale County, Alabama","5541","253","4213","296","0","21","4213","296","3958","291","1077","182","2541","347","136","54","1086","175","54","47","32","36","106","68","1222","217",
"0500000US01067","Henry County, Alabama","6684","311","5358","321","10","17","5348","319","4824","301","1387","198","3329","292","350","103","1191","216","67","39","0","21","177","71","1149","164",
"0500000US01069","Houston County, Alabama","42581","402","36409","498","70","36","36339","497","33548","496","7186","409","27690","573","2426","235","2781","243","214","86","24","21","1155","139","5017","335",
"0500000US01071","Jackson County, Alabama","21186","427","18460","512","56","38","18404","501","16279","579","3251","399","14368","539","1869","311","1397","239","190","118","0","31","519","136","2207","292",
"0500000US01073","Jefferson County, Alabama","268911","1573","238227","2107","193","92","238034","2102","217541","2433","32299","1768","197121","2329","18066","1180","21134","1271","706","174","67","48","7538","790","23146","1345",
"0500000US01075","Lamar County, Alabama","4987","255","3612","262","0","21","3612","262","3222","251","1026","193","2351","264","299","98","450","147","38","46","2","5","282","132","1093","211",
"0500000US01077","Lauderdale County, Alabama","38777","507","31739","833","51","45","31688","840","28073","949","6832","761","22650","959","2878","554","3127","479","498","293","7","10","1593","317","5445","668",
"0500000US01079","Lawrence County, Alabama","13145","324","9814","447","29","29","9785","444","8573","464","2734","312","6208","468","1067","255","1109","200","60","45","18","29","493","165","2838","422",
"0500000US01081","Lee County, Alabama","67944","759","59102","1073","35","53","59067","1066","55777","1174","6177","617","49879","1117","2826","464","5075","701","229","141","66","70","3089","452","5753","733",
"0500000US01083","Limestone County, Alabama","40021","619","35738","715","56","42","35682","714","32973","851","4207","441","29081","813","2313","394","3271","500","221","139","79","105","1186","328","3097","367",
