B19013_001E__Estimate!!Median household income in the past 12 months (in 2023 inflation-adjusted dollars),GEO_ID_inc,NAME,S1701_C01_006E__Estimate!!Total!!Population for whom poverty status is determined!!AGE!!18 to 64 years,S1701_C01_031E__Estimate!!Total!!Population for whom poverty status is determined!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Unemployed,GEO_ID_pov,B25047_003E__Estimate!!Total:!!Lacking complete plumbing facilities,GEO_ID_cos,S0101_C01_030E__Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!65 years and over,GEO_ID_age,B02001_002E__Estimate!!Total:!!White alone,GEO_ID_rac,S1501_C02_002E__Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Less than high school graduate,GEO_ID_edu,B27001_001E__Estimate!!Total:,GEO_ID_uni,B28002_004E__Estimate!!Total:!!With an Internet subscription!!Broadband of any type,GEO_ID_int,B08012_013E__Estimate!!Total:!!90 or more minutes,GEO_ID_tra,S2301_C01_034E__Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,GEO_ID_une,B08201_002E__Estimate!!Total:!!No vehicle available,GEO_ID,County,State,County_Name,State Name,Complete County Name,State Abbreviation,Health Center Number,County Equivalent Name,HHS Region Code,HHS Region Name,State FIPS Code_hea,State FIPS and Congressional District Number Code,Severe Housing Cost Burden raw value,Ratio of population to primary care physicians.,Mental Health Providers raw value,Premature Age-Adjusted Mortality raw value,Infant Mortality raw value,Preventable Hospital Stays raw value_hhs,Poor or Fair Health raw value_pre,State FIPS Code_cou,County FIPS Code_cou,5-digit FIPS Code_air,Name_air,PM10        24-hr (µg/m3) ,County FIPS Code_air,Drinking Water Violations raw value,State FIPS Code_nat,County FIPS Code_nat,5-digit FIPS Code_dri,Name_dri,RISK_VALUE,RISK_SCORE,RISK_RATNG,OID_,NRI_ID,STATE,STATEABBRV,STATEFIPS,COUNTY,COUNTYTYPE,COUNTYFIPS,STCOFIPS,Food Insecurity raw value,State FIPS Code_foo,County FIPS Code_foo,5-digit FIPS Code_hhs,Name_hhs,Data_Value,LocationAbbr,LocationDesc,Preventable Hospital Stays raw value_pre,State FIPS Code_pre,County FIPS Code_pre,5-digit FIPS Code_pre,Name_pre,Poor or Fair Health raw value_poo,State FIPS Code_poo,County FIPS Code_poo,5-digit FIPS Code,Name
52112,0500000US45001,"Abbeville County, South Carolina",13391.0,265.0,0500000US45001,563.0,0500000US45001,5496.0,0500000US45001,16882.0,0500000US45001,17.5,0500000US45001,24191.0,0500000US45001,7636.0,0500000US45001,173.0,0500000US45001,3666.0,0500000US45001,557.0,0500000US45001,Abbeville County,South Carolina,Abbeville County,South Carolina,Abbeville County,SC,H80CS00785,Abbeville,04,Region 4,45,4503,0.1058718861,1869.1538462,0.0006158647,564.94138246,,2519.0,0.2,45.0,1.0,45001.0,Abbeville County,,,1.0,45,1,45001,Abbeville County,4574966.245231733,38.6891504931594,Very Low,2318,C45001,South Carolina,SC,45,Abbeville,County,1,45001,0.096,45,1,45001,Abbeville County,354.9,SC,Abbeville County,2519.0,45,1,45001,Abbeville County,0.2,45,1,45001,Abbeville County
45266,0500000US22001,"Acadia Parish, Louisiana",32909.0,1913.0,0500000US22001,932.0,0500000US22001,9227.0,0500000US22001,44296.0,0500000US22001,18.6,0500000US22001,56494.0,0500000US22001,17122.0,0500000US22001,656.0,0500000US22001,7170.0,0500000US22001,2065.0,0500000US22001,Acadia Parish,Louisiana,Acadia Parish,Louisiana,Acadia Parish,LA,H80CS00558,Acadia,06,Region 6,22,2203,0.11006651,2728.0,0.0012512336,652.05630031,5.8120225839,3536.0,0.224,22.0,1.0,22001.0,Acadia Parish,,,1.0,22,1,22001,Acadia Parish,47478504.31807495,90.51861279032772,Relatively Moderate,1115,C22001,Louisiana,LA,22,Acadia,Parish,1,22001,0.16,22,1,22001,Acadia Parish,538.4,LA,Acadia Parish,3536.0,22,1,22001,Acadia Parish,0.224,22,1,22001,Acadia Parish
57500,0500000US51001,"Accomack County, Virginia",17693.0,565.0,0500000US51001,997.0,0500000US51001,8382.0,0500000US51001,20240.0,0500000US51001,10.1,0500000US51001,32814.0,0500000US51001,11825.0,0500000US51001,161.0,0500000US51001,4116.0,0500000US51001,978.0,0500000US51001,Accomack County,Virginia,Accomack County,Virginia,Accomack County,VA,H80CS00791,Accomack,03,Region 3,51,5102,0.1183008526,2770.5,0.0012955319,536.96065031,9.4711917916,2002.0,0.205,51.0,1.0,51001.0,Accomack County,,,1.0,51,1,51001,Accomack County,42786430.0296976,89.5641107222399,Relatively Moderate,2822,C51001,Virginia,VA,51,Accomack,County,1,51001,0.097,51,1,51001,Accomack County,421.9,VA,Accomack County,2002.0,51,1,51001,Accomack County,0.205,51,1,51001,Accomack County
88907,0500000US16001,"Ada County, Idaho",303856.0,8144.0,0500000US16001,904.0,0500000US16001,79976.0,0500000US16001,430629.0,0500000US16001,9.9,0500000US16001,498757.0,0500000US16001,185707.0,0500000US16001,2950.0,0500000US16001,83757.0,0500000US16001,6843.0,0500000US16001,Ada County,Idaho,Ada County,Idaho,Ada County,ID,H80CS00636,Ada,10,Region 10,16,1602,0.1073448139,1127.6013216,0.0036885222,269.64198075,4.5153868277,1316.0,0.115,16.0,1.0,16001.0,Ada County,61,16001.0,0.0,16,1,16001,Ada County,35156991.24502628,87.94145720649061,Relatively Moderate,553,C16001,Idaho,ID,16,Ada,County,1,16001,0.069,16,1,16001,Ada County,269.5,ID,Ada County,1316.0,16,1,16001,Ada County,0.115,16,1,16001,Ada County
88907,0500000US16001,"Ada County, Idaho",303856.0,8144.0,0500000US16001,904.0,0500000US16001,79976.0,0500000US16001,430629.0,0500000US16001,9.9,0500000US16001,498757.0,0500000US16001,185707.0,0500000US16001,2950.0,0500000US16001,83757.0,0500000US16001,6843.0,0500000US16001,Ada County,Idaho,Ada County,Idaho,Ada County,ID,H80CS26601,Ada,10,Region 10,16,1602,0.1073448139,1127.6013216,0.0036885222,269.64198075,4.5153868277,1316.0,0.115,16.0,1.0,16001.0,Ada County,61,16001.0,0.0,16,1,16001,Ada County,35156991.24502628,87.94145720649061,Relatively Moderate,553,C16001,Idaho,ID,16,Ada,County,1,16001,0.069,16,1,16001,Ada County,269.5,ID,Ada County,1316.0,16,1,16001,Ada County,0.115,16,1,16001,Ada County
50316,0500000US21001,"Adair County, Kentucky",10418.0,623.0,0500000US21001,499.0,0500000US21001,3735.0,0500000US21001,17366.0,0500000US21001,9.4,0500000US21001,18759.0,0500000US21001,5916.0,0500000US21001,390.0,0500000US21001,2803.0,0500000US21001,444.0,0500000US21001,Adair County,Kentucky,Adair County,Kentucky,Adair County,KY,H80CS08218,Adair,04,Region 4,21,2101,0.0891551268,3786.4,0.002727225,540.49801366,,3499.0,0.226,21.0,1.0,21001.0,Adair County,,,0.0,21,1,21001,Adair County,4245694.965113262,36.080178173719375,Very Low,995,C21001,Kentucky,KY,21,Adair,County,1,21001,0.137,21,1,21001,Adair County,430.1,KY,Adair County,3499.0,21,1,21001,Adair County,0.226,21,1,21001,Adair County
56583,0500000US29001,"Adair County, Missouri",14950.0,545.0,0500000US29001,1048.0,0500000US29001,3823.0,0500000US29001,22424.0,0500000US29001,5.1,0500000US29001,25025.0,0500000US29001,7301.0,0500000US29001,152.0,0500000US29001,2496.0,0500000US29001,648.0,0500000US29001,Adair County,Missouri,Adair County,Missouri,Adair County,MO,H80CS00731,Adair,07,Region 7,29,2906,0.1227541148,572.38636364,0.0029008544,473.63206452,,2520.0,0.192,29.0,1.0,29001.0,Adair County,,,1.0,29,1,29001,Adair County,6534910.755593394,51.543111676741965,Relatively Low,1485,C29001,Missouri,MO,29,Adair,County,1,29001,0.129,29,1,29001,Adair County,309.1,MO,Adair County,2520.0,29,1,29001,Adair County,0.192,29,1,29001,Adair County
48028,0500000US40001,"Adair County, Oklahoma",11245.0,553.0,0500000US40001,634.0,0500000US40001,3099.0,0500000US40001,7916.0,0500000US40001,13.7,0500000US40001,19342.0,0500000US40001,4272.0,0500000US40001,186.0,0500000US40001,2640.0,0500000US40001,670.0,0500000US40001,Adair County,Oklahoma,Adair County,Oklahoma,Adair County,OK,H80CS00848,Adair,06,Region 6,40,4002,0.1108280255,3882.8,0.002503065,722.92191602,9.5419847328,5556.0,0.289,40.0,1.0,40001.0,Adair County,54,40001.0,0.0,40,1,40001,Adair County,10621748.272492692,66.2424435252943,Relatively Low,2133,C40001,Oklahoma,OK,40,Adair,County,1,40001,0.175,40,1,40001,Adair County,624.1,OK,Adair County,5556.0,40,1,40001,Adair County,0.289,40,1,40001,Adair County
48028,0500000US40001,"Adair County, Oklahoma",11245.0,553.0,0500000US40001,634.0,0500000US40001,3099.0,0500000US40001,7916.0,0500000US40001,13.7,0500000US40001,19342.0,0500000US40001,4272.0,0500000US40001,186.0,0500000US40001,2640.0,0500000US40001,670.0,0500000US40001,Adair County,Oklahoma,Adair County,Oklahoma,Adair County,OK,H80CS04286,Adair,06,Region 6,40,4002,0.1108280255,3882.8,0.002503065,722.92191602,9.5419847328,5556.0,0.289,40.0,1.0,40001.0,Adair County,54,40001.0,0.0,40,1,40001,Adair County,10621748.272492692,66.2424435252943,Relatively Low,2133,C40001,Oklahoma,OK,40,Adair,County,1,40001,0.175,40,1,40001,Adair County,624.1,OK,Adair County,5556.0,40,1,40001,Adair County,0.289,40,1,40001,Adair County
91387,0500000US08001,"Adams County, Colorado",332177.0,13434.0,0500000US08001,546.0,0500000US08001,57841.0,0500000US08001,315627.0,0500000US08001,16.8,0500000US08001,521069.0,0500000US08001,170406.0,0500000US08001,6197.0,0500000US08001,80885.0,0500000US08001,9040.0,0500000US08001,Adams County,Colorado,Adams County,Colorado,Adams County,CO,H80CS00801,Adams,08,Region 8,08,0808,0.1481051817,1926.7158672,0.0039975359,373.09112523,5.4943827753,2015.0,0.162,8.0,1.0,8001.0,Adams County,89,8001.0,1.0,8,1,8001,Adams County,80519228.84247276,94.17753738466432,Relatively Moderate,246,C08001,Colorado,CO,8,Adams,County,1,8001,0.09,8,1,8001,Adams County,270.6,CO,Adams County,2015.0,8,1,8001,Adams County,0.162,8,1,8001,Adams County
