GEO_ID,NAME,B25070_001E__Estimate!!Total:,B25070_001M__Margin of Error!!Total:,B25070_002E__Estimate!!Total:!!Less than 10.0 percent,B25070_002M__Margin of Error!!Total:!!Less than 10.0 percent,B25070_003E__Estimate!!Total:!!10.0 to 14.9 percent,B25070_003M__Margin of Error!!Total:!!10.0 to 14.9 percent,B25070_004E__Estimate!!Total:!!15.0 to 19.9 percent,B25070_004M__Margin of Error!!Total:!!15.0 to 19.9 percent,B25070_005E__Estimate!!Total:!!20.0 to 24.9 percent,B25070_005M__Margin of Error!!Total:!!20.0 to 24.9 percent,B25070_006E__Estimate!!Total:!!25.0 to 29.9 percent,B25070_006M__Margin of Error!!Total:!!25.0 to 29.9 percent,B25070_007E__Estimate!!Total:!!30.0 to 34.9 percent,B25070_007M__Margin of Error!!Total:!!30.0 to 34.9 percent,B25070_008E__Estimate!!Total:!!35.0 to 39.9 percent,B25070_008M__Margin of Error!!Total:!!35.0 to 39.9 percent,B25070_009E__Estimate!!Total:!!40.0 to 49.9 percent,B25070_009M__Margin of Error!!Total:!!40.0 to 49.9 percent,B25070_010E__Estimate!!Total:!!50.0 percent or more,B25070_010M__Margin of Error!!Total:!!50.0 percent or more,B25070_011E__Estimate!!Total:!!Not computed,B25070_011M__Margin of Error!!Total:!!Not computed
0500000US01001,"Autauga County, Alabama",5651,552,329,208,386,138,766,242,895,329,978,360,185,91,222,112,287,179,852,234,751,171
0500000US01003,"Baldwin County, Alabama",21261,1446,643,251,1823,457,2760,633,3513,753,1530,408,1617,362,1507,391,1847,598,3910,658,2111,445
0500000US01005,"Barbour County, Alabama",2952,265,177,83,211,109,373,155,423,152,240,130,231,104,165,115,144,76,425,127,563,140
0500000US01007,"Bibb County, Alabama",1728,316,23,20,175,122,48,47,263,137,68,55,139,84,15,16,232,161,386,152,379,178
0500000US01009,"Blount County, Alabama",4504,468,250,120,296,118,538,191,266,127,353,167,204,100,470,205,238,144,808,251,1081,280
0500000US01011,"Bullock County, Alabama",1260,204,83,68,70,60,145,119,79,88,55,53,19,36,0,21,125,63,397,183,287,122
0500000US01013,"Butler County, Alabama",2294,245,157,74,188,85,223,85,139,65,219,124,154,79,140,74,59,45,465,141,550,143
0500000US01015,"Calhoun County, Alabama",13363,877,726,206,1217,278,1830,389,1355,352,1390,347,927,278,619,208,955,252,2842,480,1502,337
0500000US01017,"Chambers County, Alabama",3893,434,263,128,574,212,588,245,523,272,166,73,261,121,221,167,219,135,569,167,509,174
0500000US01019,"Cherokee County, Alabama",2153,336,142,84,236,113,168,95,101,59,234,117,54,43,210,108,213,117,78,45,717,199
