State FIPS Code,County FIPS Code,5-digit FIPS Code,State Abbreviation,Name,Release Year,County Clustered (Yes=1/No=0),Food Environment Index raw value,Food Environment Index numerator,Food Environment Index denominator,Food Environment Index CI low,Food Environment Index CI high,Food Insecurity raw value,Food Insecurity numerator,Food Insecurity denominator,Food Insecurity CI low,Food Insecurity CI high,Limited Access to Healthy Foods raw value,Limited Access to Healthy Foods numerator,Limited Access to Healthy Foods denominator,Limited Access to Healthy Foods CI low,Limited Access to Healthy Foods CI high
00,000,00000,US,United States,2024,,7.7,0.0610019647,0.104,,,0.104,33844000,,,,0.0610019647,18834084.4,308745538,,
01,000,01000,AL,Alabama,2024,,5.4,0.0876054853,0.148,,,0.148,746550,,,,0.0876054853,418731.09187,4779736,,
01,001,01001,AL,Autauga County,2024,1,6.7,0.1302099797,0.133,,,0.133,7770,,,,0.1302099797,7105.6888029,54571,,
01,003,01003,AL,Baldwin County,2024,1,7.5,0.0793677936,0.118,,,0.118,26830,,,,0.0793677936,14465.970897,182265,,
01,005,01005,AL,Barbour County,2024,1,6,0.1043317167,0.178,,,0.178,4500,,,,0.1043317167,2864.6359459,27457,,
01,007,01007,AL,Bibb County,2024,1,7.6,0.0044586621,0.149,,,0.149,3350,,,,0.0044586621,102.17024278,22915,,
01,009,01009,AL,Blount County,2024,1,7.7,0.0251220602,0.137,,,0.137,8040,,,,0.0251220602,1440.0467337,57322,,
01,011,01011,AL,Bullock County,2024,1,4.2,0.3233919039,0.156,,,0.156,1620,,,,0.3233919039,3529.4992389,10914,,
01,013,01013,AL,Butler County,2024,1,7.2,0.0691828694,0.138,,,0.138,2640,,,,0.0691828694,1449.1735661,20947,,
01,015,01015,AL,Calhoun County,2024,1,5.9,0.15398073,0.156,,,0.156,18210,,,,0.15398073,18257.803112,118572,,
01,017,01017,AL,Chambers County,2024,1,7.2,0.0810298845,0.133,,,0.133,4630,,,,0.0810298845,2772.4374986,34215,,
01,019,01019,AL,Cherokee County,2024,1,7.2,0.0500865225,0.147,,,0.147,3660,,,,0.0500865225,1301.6986336,25989,,
01,021,01021,AL,Chilton County,2024,1,7.1,0.0436955151,0.154,,,0.154,6890,,,,0.0436955151,1907.0033658,43643,,
01,023,01023,AL,Choctaw County,2024,1,6.2,0.1304427545,0.157,,,0.157,2010,,,,0.1304427545,1807.8061339,13859,,
01,025,01025,AL,Clarke County,2024,1,5.5,0.1835034355,0.163,,,0.163,3810,,,,0.1835034355,4740.4442491,25833,,
01,027,01027,AL,Clay County,2024,1,7.4,0.0297461784,0.15,,,0.15,2130,,,,0.0297461784,414.42375688,13932,,
01,029,01029,AL,Cleburne County,2024,1,7.3,0.0202485193,0.155,,,0.155,2330,,,,0.0202485193,303.16083092,14972,,
01,031,01031,AL,Coffee County,2024,1,6.8,0.08991895,0.146,,,0.146,7770,,,,0.08991895,4491.2717156,49948,,
01,033,01033,AL,Colbert County,2024,1,6.8,0.0882930331,0.149,,,0.149,8480,,,,0.0882930331,4805.6132054,54428,,
01,035,01035,AL,Conecuh County,2024,1,6.8,0.1328897274,0.127,,,0.127,1490,,,,0.1328897274,1757.8653134,13228,,
01,037,01037,AL,Coosa County,2024,1,7.4,0.0771721924,0.127,,,0.127,1320,,,,0.0771721924,890.48992765,11539,,
01,039,01039,AL,Covington County,2024,1,6.9,0.0548048496,0.159,,,0.159,5960,,,,0.0548048496,2069.7051469,37765,,
01,041,01041,AL,Crenshaw County,2024,1,6.6,0.1350618346,0.133,,,0.133,1770,,,,0.1350618346,1878.1698725,13906,,
01,043,01043,AL,Cullman County,2024,1,7.5,0.0284374427,0.144,,,0.144,12570,,,,0.0284374427,2286.5410184,80406,,
