Complete County Name,State Abbreviation,RUCC_2023,RADI,RADI_tiers_percentile,RADI_tiers_quantile
Abbeville County,SC,6.0,41.82919839009804,Tier 3,Tier 4
Accomack County,VA,9.0,40.97438825369784,Tier 3,Tier 3
Adair County,KY,7.0,41.760646185284614,Tier 3,Tier 4
Adair County,MO,7.0,45.59331056279054,Tier 3,Tier 4
Adair County,OK,8.0,72.22446114804448,Tier 5,Tier 6
Adams County,ID,9.0,36.90208017894785,Tier 3,Tier 3
Adams County,IL,5.0,21.0412885827004,Tier 2,Tier 1
Adams County,MS,7.0,68.78500509578315,Tier 5,Tier 6
Adams County,NE,4.0,18.19878086982265,Tier 2,Tier 1
Adams County,OH,8.0,51.780218150191594,Tier 4,Tier 5
Adams County,WA,6.0,43.00516664361259,Tier 3,Tier 4
Adams County,WI,8.0,43.70269318587844,Tier 3,Tier 4
Addison County,VT,6.0,10.645386831729775,Tier 1,Tier 1
Alamosa County,CO,7.0,34.80457110219456,Tier 3,Tier 3
Albany County,WY,4.0,34.503682853368474,Tier 3,Tier 3
Alcona County,MI,9.0,50.54683805790765,Tier 4,Tier 5
Alcorn County,MS,7.0,54.4145501128873,Tier 4,Tier 5
Alfalfa County,OK,8.0,27.759331026768884,Tier 2,Tier 2
Allegan County,MI,4.0,13.688959550927049,Tier 1,Tier 1
Allegany County,MD,4.0,38.68565414218223,Tier 3,Tier 3
Allegany County,NY,7.0,35.57968918018989,Tier 3,Tier 3
Alleghany County,NC,9.0,48.77423679459063,Tier 3,Tier 4
Alleghany County,VA,6.0,34.14326028463941,Tier 3,Tier 3
Allen County,KS,7.0,31.66185063239028,Tier 2,Tier 2
Allen Parish,LA,6.0,51.81934689742418,Tier 4,Tier 5
Allendale County,SC,8.0,86.24003861345489,Tier 6,Tier 6
Alpena County,MI,7.0,39.518104376350315,Tier 3,Tier 3
Amador County,CA,6.0,19.623532750884685,Tier 2,Tier 1
Amite County,MS,8.0,78.16217235173966,Tier 5,Tier 6
Anderson County,KS,8.0,37.43239986564494,Tier 3,Tier 3
Anderson County,KY,6.0,21.864392192879958,Tier 2,Tier 1
Anderson County,TX,7.0,42.568045282166295,Tier 3,Tier 4
Angelina County,TX,5.0,40.884486191216325,Tier 3,Tier 3
Antrim County,MI,8.0,30.389007509061667,Tier 2,Tier 2
Apache County,AZ,8.0,96.79236531788209,Tier 6,Tier 6
Appanoose County,IA,7.0,44.42634216338256,Tier 3,Tier 4
Appling County,GA,7.0,56.4702296305964,Tier 4,Tier 5
Archuleta County,CO,7.0,20.28520515281997,Tier 2,Tier 1
Arenac County,MI,8.0,43.49236532161107,Tier 3,Tier 4
Arkansas County,AR,6.0,43.64754243413363,Tier 3,Tier 4
Aroostook County,ME,7.0,39.40713521080004,Tier 3,Tier 3
Ashe County,NC,9.0,39.34044483051636,Tier 3,Tier 3
Ashland County,OH,6.0,29.55574626045247,Tier 2,Tier 2
Ashland County,WI,7.0,35.29135759452424,Tier 3,Tier 3
Ashley County,AR,7.0,63.05884287652346,Tier 4,Tier 6
Atchison County,KS,6.0,31.206320989843693,Tier 2,Tier 2
Athens County,OH,4.0,45.68764214986621,Tier 3,Tier 4
