Median Income,Name,Poverty 18-64,Lacking Complete Plumbing Facilities,65+,White Population,Percent Less Than High School Graduate,Some College or Associate's Degree,No Vehicle Available,GEO_ID,State,Complete County Name,State Abbreviation,Health Center Number,County Equivalent Name,HHS Region Code,HHS Region Name,State FIPS and Congressional District Number Code,Housing Cost Burden,Ratio of population to primary care physicians,Mental Health Providers,Premature Mortality,Infant Mortality,Total Population,Unemployment,Uninsured,Percent With Internet,Long Commutes,PM10 24-hr (ug/m3),Drinking Water Violations,Natural Disaster Risk,Food Insecurity,Heart Disease Mortality,Preventable Hospital Stays,Poor or Fair Health,State FIPS Code,County FIPS Code,5-digit FIPS Code,RUCC_2023
52112,"Abbeville County, South Carolina",0.128,0.023115454097552963,0.22565281655444244,0.6931351617671211,0.175,0.15051732632616194,0.022869108227952045,0500000US45001,South Carolina,Abbeville County,SC,H80CS00785,Abbeville,4,Region 4,4503,0.1058718861,1869.1538462,0.0006158647,564.94138246,,24356.0,0.0386939468,0.1324577026,0.7612266112,0.445,,1.0,0.386891504931594,0.096,354.9,2519.0,0.2,45,1,45001,6
57500,"Accomack County, Virginia",0.122,0.030038263384652465,0.2525383387062758,0.6098038624928445,0.10099999999999999,0.12400952065318911,0.029465819047332108,0500000US51001,Virginia,Accomack County,VA,H80CS00791,Accomack,3,Region 3,5102,0.1183008526,2770.5,0.0012955319,536.96065031,9.4711917916,33191.0,0.0327171082,0.1339616429,0.8057816447,0.254,,1.0,0.895641107222399,0.097,421.9,2002.0,0.205,51,1,51001,9
50316,"Adair County, Kentucky",0.17300000000000001,0.026170871138616457,0.19588818377301095,0.9107882729322914,0.094,0.1470079194419678,0.02328630618345833,0500000US21001,Kentucky,Adair County,KY,H80CS08218,Adair,4,Region 4,2101,0.0891551268,3786.4,0.002727225,540.49801366,,19067.0,0.0454482279,0.0787050156,0.8156695575,0.271,,0.0,0.36080178173719374,0.137,430.1,3499.0,0.226,21,1,21001,7
56583,"Adair County, Missouri",0.268,0.041645142062388237,0.15191734551957084,0.8910788793959865,0.051,0.09918537651500099,0.02575004967216372,0500000US29001,Missouri,Adair County,MO,H80CS00731,Adair,7,Region 7,2906,0.1227541148,572.38636364,0.0029008544,473.63206452,,25165.0,0.0298750127,0.1373000161,0.808551444,0.167,,1.0,0.5154311167674197,0.129,309.1,2520.0,0.192,29,1,29001,7
48028,"Adair County, Oklahoma",0.19699999999999998,0.03238659583163057,0.15830608908868002,0.40437270126685737,0.13699999999999998,0.1348590110339191,0.03422558234572946,0500000US40001,Oklahoma,Adair County,OK,H80CS00848,Adair,6,Region 6,4002,0.1108280255,3882.8,0.002503065,722.92191602,9.5419847328,19576.0,0.0334805859,0.2009690051,0.5486273364,0.391,54,0.0,0.662424435252943,0.175,624.1,5556.0,0.289,40,1,40001,8
59286,"Adams County, Idaho",0.142,0.012871081586049408,0.2900145318663068,0.8744031554909695,0.132,0.1831015154660577,0.003944363711853851,0500000US16003,Idaho,Adams County,ID,H80CS08329,Adams,10,Region 10,1601,0.1131611316,1541.6666667,0.0006227943,345.95211032,,4817.0,0.0527210884,0.1208307111,0.7385892116,0.216,,0.0,0.5090677696468342,0.12,214.4,1260.0,0.157,16,3,16003,9
64962,"Adams County, Illinois",0.111,0.007941290073387407,0.20196214754731556,0.9157358053302433,0.076,0.16216299729625339,0.030220162224797217,0500000US17001,Illinois,Adams County,IL,H80CS24098,Adams,5,Region 5,1715,0.0895914689,955.20588235,0.0031054461,410.62059731,6.1638868745,64725.0,0.0332033788,0.0583808572,0.8361586031,0.172,ND,1.0,0.5109767737830099,0.094,298.1,3987.0,0.148,17,1,17001,5
40250,"Adams County, Mississippi",0.26,0.055829343846803714,0.22074767671078568,0.39309349479019995,0.242,0.16094058011827655,0.0324556462968178,0500000US28001,Mississippi,Adams County,MS,H80CS00582,Adams,4,Region 4,2802,0.1447850395,1306.4545455,0.0012320473,623.15340639,9.5198675497,28408.0,0.0515816472,0.1653450229,0.8130487175,0.2,ND,0.0,0.5437480114540248,0.185,382.6,3185.0,0.273,28,1,28001,7
65680,"Adams County, Nebraska",0.126,0.001226993865030675,0.18505004843396836,0.8540200193735873,0.09,0.1882789796577333,0.022085889570552148,0500000US31001,Nebraska,Adams County,NE,H80CS26562,Adams,7,Region 7,3103,0.1100689434,1108.1071429,0.004036164,387.88130384,7.9970919666,30970.0,0.0222915223,0.0919649894,0.8623889282,0.167,,1.0,0.7702831689468661,0.11,300.6,1850.0,0.13,31,1,31001,4
49521,"Adams County, Ohio",0.17800000000000002,0.030087527352297593,0.18603209336250912,0.9684536834427425,0.13699999999999998,0.1424872355944566,0.027680525164113786,0500000US39001,Ohio,Adams County,OH,H80CS00399,Adams,5,Region 5,3902,0.1104745433,2295.1666667,0.0020423049,653.95834577,,27420.0,0.0537408759,0.0945945946,0.7967567568,0.479,,0.0,0.5434298440979957,0.165,511.0,3402.0,0.206,39,1,39001,8
65042,"Adams County, Washington",0.174,0.012117742474118601,0.1166929058728114,0.47135155765469205,0.228,0.0967511092028052,0.019655550784790803,0500000US53001,Washington,Adams County,WA,H80CS00147,Adams,10,Region 10,5304,0.099242923,2945.8571429,0.0018128906,375.29282714,,20961.0,0.051372273,0.1631839119,0.8502538071,0.283,ND,0.0,0.3983455297486478,0.108,299.9,1157.0,0.249,53,1,53001,6
59153,"Adams County, Wisconsin",0.141,0.03156506171676246,0.311080750023556,0.8856590973334589,0.147,0.1611231508527278,0.02044662206727598,0500000US55001,Wisconsin,Adams County,WI,H80CS00713,Adams,5,Region 5,5503,0.1255183234,10437.5,0.0007066805,447.83852053,,21226.0,0.0480332338,0.0818134054,0.802092415,0.438,,1.0,0.36143811644925244,0.109,300.2,1376.0,0.16,55,1,55001,8
88478,"Addison County, Vermont",0.083,0.006546383522273671,0.2199691308744478,0.9057161104901804,0.035,0.10814838469317153,0.016658683272127307,0500000US50001,Vermont,Addison County,VT,H80CS06659,Addison,1,Region 1,5000,0.1214098291,887.14285714,0.0034860823,253.96643041,,37578.0,0.0242476519,0.0420375496,0.8871392897,0.415,ND,0.0,0.1609926821508113,0.073,330.1,1663.0,0.103,50,1,50001,6
51445,"Alamosa County, Colorado",0.18100000000000002,0.0233847637415622,0.14681774349083895,0.6133076181292189,0.081,0.1717695274831244,0.028688524590163935,0500000US08003,Colorado,Alamosa County,CO,H80CS00134,Alamosa,8,Region 8,803,0.098026835,1378.9166667,0.0142237223,549.16504249,,16592.0,0.0362770246,0.1342266636,0.889661567,0.131,66,1.0,0.3433025771555838,0.121,286.4,2015.0,0.197,8,3,8003,7
59881,"Albany County, Wyoming",0.251,0.007467592227393442,0.12965738476506009,0.8426546764481607,0.017,0.12200573216586469,0.028818595356419764,0500000US56001,Wyoming,Albany County,WY,H80CS30723,Albany,8,Region 8,5600,0.2010635604,1253.6,0.0062317583,326.40605673,,38031.0,0.0311970638,0.1313784123,0.9022713321,0.097,195,0.0,0.4282532612153993,0.123,261.1,1462.0,0.133,56,1,56001,4
53568,"Alcona County, Michigan",0.17,0.05145435346068926,0.3584525295190554,0.9337621196121724,0.231,0.17577037534798887,0.016607468561006047,0500000US26001,Michigan,Alcona County,MI,H80CS00679,Alcona,5,Region 5,2601,0.1045483941,2047.0,0.0010559662,489.20362774,,10417.0,0.0695131476,0.0841576625,0.7924254967,0.349,,0.0,0.02927139675469297,0.149,458.9,2314.0,0.163,26,1,26001,9
49404,"Alcorn County, Mississippi",0.17300000000000001,0.03505437960472459,0.1893638170974155,0.8164542158811835,0.139,0.1622909601216232,0.04098935796982809,0500000US28003,Mississippi,Alcorn County,MS,H80CS00635,Alcorn,4,Region 4,2801,0.1085983152,2289.9333333,0.0031867618,601.50086812,10.48714479,34204.0,0.0359340878,0.1474072991,0.7319499106,0.268,,0.0,0.6996500159083677,0.179,507.9,4218.0,0.221,28,3,28003,7
67870,"Alfalfa County, Oklahoma",0.11699999999999999,0.04009224764945893,0.20134823487670747,0.83448642895157,0.215,0.16870675891431614,0.010466560227071138,0500000US40003,Oklahoma,Alfalfa County,OK,H80CS08744,Alfalfa,6,Region 6,4003,0.0545134818,2855.0,0.0001773993,393.23564419,,5637.0,0.0200445434,0.1670829864,0.8551120831,0.264,,1.0,0.23703468024180718,0.106,451.9,1895.0,0.178,40,3,40003,8
80255,"Allegan County, Michigan",0.085,0.004587080273904793,0.177831862057586,0.8906608365646399,0.166,0.15509446415312267,0.010329180760663312,0500000US26005,Michigan,Allegan County,MI,H80CS00771,Allegan,5,Region 5,2604,0.0727818161,4838.0,0.0010807689,355.56691429,4.5741668482,121210.0,0.0371570709,0.0624159187,0.885435109,0.329,ND,1.0,0.5055679287305123,0.087,330.2,2098.0,0.148,26,5,26005,4
57393,"Allegany County, Maryland",0.179,0.0264617122809104,0.21109905302748747,0.8793167526424547,0.085,0.14678817250657827,0.03761131015208052,0500000US24001,Maryland,Allegany County,MD,H80CS06642,Allegany,3,Region 3,2406,0.111313515,1881.3611111,0.0039395246,520.06412209,8.0267558528,67267.0,0.0402867983,0.0631697452,0.82335591,0.218,,0.0,0.4237989182309894,0.148,456.4,2768.0,0.168,24,1,24001,4
61233,"Allegany County, New York",0.17600000000000002,0.035572022101340646,0.19871932154024072,0.9443183278365529,0.043,0.14978369811967276,0.029961022829485588,0500000US36003,New York,Allegany County,NY,LALCS00181,Allegany,2,Region 2,3623,0.1084300362,2881.625,0.0025699233,395.83313697,,46694.0,0.0403495918,0.0506455417,0.8330458574,0.317,,1.0,0.3652561247216035,0.11,316.7,2714.0,0.147,36,3,36003,7
44272,"Alleghany County, North Carolina",0.14800000000000002,0.013947250782297721,0.29432275368797495,0.9043361645060348,0.102,0.1507375949932946,0.028788556101922217,0500000US37005,North Carolina,Alleghany County,NC,H80CS28970,Alleghany,4,Region 4,3705,0.1192482178,1004.4545455,0.0024139473,430.33979238,,11185.0,0.0386228206,0.1842373313,0.7923840389,0.303,,0.0,0.08049634107540565,0.158,324.8,2368.0,0.194,37,5,37005,9
55160,"Alleghany County, Virginia",0.1,0.049410178631614426,0.2599932591843613,0.931850353892821,0.09300000000000001,0.17209302325581396,0.030468486686889115,0500000US51005,Virginia,Alleghany County,VA,H80CS18278,Alleghany,3,Region 3,5106,0.0770801429,2497.6666667,0.0003370408,558.3905866,,14835.0,0.032720753,0.079985523,0.7831669044,0.262,,0.0,0.14158447343302577,0.109,431.2,4445.0,0.172,51,5,51005,6
57618,"Allen County, Kansas",0.127,0.025041736227045076,0.2062167103903331,0.9042054217346371,0.10400000000000001,0.17521265601399158,0.029414102869862468,0500000US20001,Kansas,Allen County,KS,H80CS00841,Allen,7,Region 7,2002,0.0715187211,1558.0,0.0019079418,488.28655797,,12579.0,0.028833967,0.1144076619,0.8122866894,0.18,,0.0,0.2612153993000318,0.119,387.4,3043.0,0.161,20,1,20001,7
51138,"Allen Parish, Louisiana",0.19,0.03508064516129032,0.14560931899641577,0.7085573476702509,0.145,0.15094086021505376,0.029883512544802867,0500000US22003,Louisiana,Allen Parish,LA,H80CS00867,Allen,6,Region 6,2204,0.0881831811,5671.75,0.0011200717,652.92633612,,22320.0,0.0417076772,0.0878554615,0.758905186,0.404,,1.0,0.6404708876869233,0.145,475.1,4355.0,0.217,22,3,22003,6
31603,"Allendale County, South Carolina",0.243,0.06940229581739016,0.2216651273255047,0.24686634120596385,0.33,0.15028367858556538,0.06900646523288033,0500000US45005,South Carolina,Allendale County,SC,H80CS00092,Allendale,4,Region 4,4506,0.1336059986,1964.5,0.0018472094,741.22924648,,7579.0,0.0566121185,0.1246586032,0.6962732919,0.528,,0.0,0.6496977410117722,0.139,433.6,2683.0,0.272,45,5,45005,8
51909,"Alpena County, Michigan",0.18,0.020972718133601416,0.24525947238880993,0.9352099005095851,0.21,0.2046313308142961,0.035705619301833816,0500000US26007,Michigan,Alpena County,MI,H80CS00679,Alpena,5,Region 5,2601,0.0854610506,1313.3181818,0.0040212154,394.12878867,,28847.0,0.0500303214,0.0640018484,0.8226554516,0.149,ND,0.0,0.05981546293350302,0.14,452.9,2002.0,0.166,26,7,26007,7
81526,"Amador County, California",0.08900000000000001,0.002438906597121607,0.2695595479571139,0.7703805660195112,0.23399999999999999,0.21269197334106058,0.014778325123152709,0500000US06005,California,Amador County,CA,H80CS12872,Amador,9,Region 9,605,0.1596682901,2171.5263158,0.0029218584,359.12134118,,41412.0,0.0441811847,0.0561599077,0.8590028581,0.438,ND,1.0,0.7779191854915686,0.091,326.8,1514.0,0.15,6,5,6005,6
35385,"Amite County, Mississippi",0.233,0.04683413899675093,0.2542990728266899,0.5826135192962992,0.243,0.18678183691259212,0.033045407718519694,0500000US28005,Mississippi,Amite County,MS,H80CS00609,Amite,4,Region 4,2802,0.0899026532,6318.5,0.0001584912,637.63119351,,12619.0,0.0523864959,0.156694538,0.6875214261,0.495,,0.0,0.5316576519249125,0.217,539.6,3796.0,0.264,28,5,28005,8
64925,"Anderson County, Kansas",0.11900000000000001,0.021219135802469136,0.2084619341563786,0.9259259259259259,0.162,0.1392746913580247,0.029063786008230452,0500000US20003,Kansas,Anderson County,KS,H80CS00841,Anderson,7,Region 7,2003,0.1104936254,2592.6666667,0.0005144033,406.40288807,,7776.0,0.0227272727,0.1162109375,0.717535545,0.355,,0.0,0.2144447979637289,0.107,376.8,1573.0,0.164,20,3,20003,8
71747,"Anderson County, Kentucky",0.121,0.006646301188903567,0.16211195508586526,0.9272209379128138,0.193,0.1870871862615588,0.011434940554821664,0500000US21005,Kentucky,Anderson County,KY,H80CS08218,Anderson,4,Region 4,2106,0.0744293748,3433.5714286,0.0009081902,470.52575526,,24224.0,0.0315991329,0.0617363985,0.8730936819,0.477,,0.0,0.33471205854279357,0.112,376.2,2840.0,0.184,21,5,21005,6
58846,"Anderson County, Texas",0.155,0.013640121245522182,0.14980022044640398,0.599751997795536,0.24600000000000002,0.18536442546155965,0.018737944337283,0500000US48001,Texas,Anderson County,TX,H80CS12856,Anderson,6,Region 6,4806,0.1109997494,2654.6363636,0.0005338936,632.81770253,,58064.0,0.0342631898,0.1977071047,0.8172081188,0.303,,0.0,0.7680559974546611,0.14,456.4,3710.0,0.217,48,1,48001,7
58847,"Angelina County, Texas",0.146,0.016532531199412177,0.1647053420741438,0.6686375586962262,0.13699999999999998,0.1646708993008117,0.022697787625859635,0500000US48005,Texas,Angelina County,TX,H80CS00793,Angelina,6,Region 6,4817,0.1190389516,1517.6491228,0.0016876959,582.80822433,6.6407718331,87101.0,0.0457722661,0.2251795765,0.8842731849,0.218,,1.0,0.8167356029271395,0.166,413.0,3223.0,0.223,48,5,48005,5
