Median Income,Name,Poverty 18-64,Lacking Complete Plumbing Facilities,65+,White Population,Percent Less Than High School Graduate,Some College or Associate's Degree,No Vehicle Available,GEO_ID,State,Complete County Name,State Abbreviation,Health Center Number,County Equivalent Name,HHS Region Code,HHS Region Name,State FIPS and Congressional District Number Code,Housing Cost Burden,Ratio of population to primary care physicians,Mental Health Providers,Premature Mortality,Infant Mortality,Total Population,Unemployment,Uninsured,Percent With Internet,Long Commutes,PM10 24-hr (ug/m3),Drinking Water Violations,Natural Disaster Risk,Food Insecurity,Heart Disease Mortality,Preventable Hospital Stays,Poor or Fair Health,State FIPS Code,County FIPS Code,5-digit FIPS Code,RUCC_2023
52112,"Abbeville County, South Carolina",0.128,0.023115454097552963,0.22565281655444244,0.6931351617671211,0.175,0.15051732632616194,0.022869108227952045,0500000US45001,South Carolina,Abbeville County,SC,H80CS00785,Abbeville,4,Region 4,4503,0.1058718861,1869.1538462,0.0006158647,564.94138246,,24356.0,0.0386939468,0.1324577026,0.7612266112,0.445,,1.0,0.386891504931594,0.096,354.9,2519.0,0.2,45,1,45001,6
45266,"Acadia Parish, Louisiana",0.226,0.01642464401522628,0.16260750035246016,0.7806287889468491,0.18600000000000003,0.12635697166220217,0.03639151275905823,0500000US22001,Louisiana,Acadia Parish,LA,H80CS00558,Acadia,6,Region 6,2203,0.11006651,2728.0,0.0012512336,652.05630031,5.8120225839,56744.0,0.0365033622,0.0980532614,0.783991023,0.372,,1.0,0.9051861279032772,0.16,538.4,3536.0,0.224,22,1,22001,2
57500,"Accomack County, Virginia",0.122,0.030038263384652465,0.2525383387062758,0.6098038624928445,0.10099999999999999,0.12400952065318911,0.029465819047332108,0500000US51001,Virginia,Accomack County,VA,H80CS00791,Accomack,3,Region 3,5102,0.1183008526,2770.5,0.0012955319,536.96065031,9.4711917916,33191.0,0.0327171082,0.1339616429,0.8057816447,0.254,,1.0,0.895641107222399,0.097,421.9,2002.0,0.205,51,1,51001,9
88907,"Ada County, Idaho",0.086,0.0017421233477289764,0.15412395670129714,0.8298770299880326,0.099,0.16141042614572554,0.01318733414658118,0500000US16001,Idaho,Ada County,ID,H80CS00636,Ada,10,Region 10,1602,0.1073448139,1127.6013216,0.0036885222,269.64198075,4.5153868277,518907.0,0.0230549851,0.0744695248,0.9329262855,0.225,61,0.0,0.8794145720649061,0.069,269.5,1316.0,0.115,16,1,16001,2
88907,"Ada County, Idaho",0.086,0.0017421233477289764,0.15412395670129714,0.8298770299880326,0.099,0.16141042614572554,0.01318733414658118,0500000US16001,Idaho,Ada County,ID,H80CS26601,Ada,10,Region 10,1602,0.1073448139,1127.6013216,0.0036885222,269.64198075,4.5153868277,518907.0,0.0230549851,0.0744695248,0.9329262855,0.225,61,0.0,0.8794145720649061,0.069,269.5,1316.0,0.115,16,1,16001,2
50316,"Adair County, Kentucky",0.17300000000000001,0.026170871138616457,0.19588818377301095,0.9107882729322914,0.094,0.1470079194419678,0.02328630618345833,0500000US21001,Kentucky,Adair County,KY,H80CS08218,Adair,4,Region 4,2101,0.0891551268,3786.4,0.002727225,540.49801366,,19067.0,0.0454482279,0.0787050156,0.8156695575,0.271,,0.0,0.36080178173719374,0.137,430.1,3499.0,0.226,21,1,21001,7
56583,"Adair County, Missouri",0.268,0.041645142062388237,0.15191734551957084,0.8910788793959865,0.051,0.09918537651500099,0.02575004967216372,0500000US29001,Missouri,Adair County,MO,H80CS00731,Adair,7,Region 7,2906,0.1227541148,572.38636364,0.0029008544,473.63206452,,25165.0,0.0298750127,0.1373000161,0.808551444,0.167,,1.0,0.5154311167674197,0.129,309.1,2520.0,0.192,29,1,29001,7
48028,"Adair County, Oklahoma",0.19699999999999998,0.03238659583163057,0.15830608908868002,0.40437270126685737,0.13699999999999998,0.1348590110339191,0.03422558234572946,0500000US40001,Oklahoma,Adair County,OK,H80CS00848,Adair,6,Region 6,4002,0.1108280255,3882.8,0.002503065,722.92191602,9.5419847328,19576.0,0.0334805859,0.2009690051,0.5486273364,0.391,54,0.0,0.662424435252943,0.175,624.1,5556.0,0.289,40,1,40001,8
48028,"Adair County, Oklahoma",0.19699999999999998,0.03238659583163057,0.15830608908868002,0.40437270126685737,0.13699999999999998,0.1348590110339191,0.03422558234572946,0500000US40001,Oklahoma,Adair County,OK,H80CS04286,Adair,6,Region 6,4002,0.1108280255,3882.8,0.002503065,722.92191602,9.5419847328,19576.0,0.0334805859,0.2009690051,0.5486273364,0.391,54,0.0,0.662424435252943,0.175,624.1,5556.0,0.289,40,1,40001,8
91387,"Adams County, Colorado",0.08,0.0010349239444628726,0.10963559683457329,0.5982599630384305,0.168,0.1533146945931858,0.01713500450172961,0500000US08001,Colorado,Adams County,CO,H80CS00801,Adams,8,Region 8,808,0.1481051817,1926.7158672,0.0039975359,373.09112523,5.4943827753,527575.0,0.0336502851,0.132001261,0.9110263726,0.485,89,1.0,0.9417753738466432,0.09,270.6,2015.0,0.162,8,1,8001,1
