Median Income,Name,Poverty 18-64,Unemployment,Lacking Complete Plumbing Facilities,65+,White Population,Percent Less Than High School Graduate,Uninsured,Percent With Internet,Long Commutes,Some College or Associate's Degree,No Vehicle Available,GEO_ID,State,Complete County Name,State Abbreviation,Health Center Number,County Equivalent Name,HHS Region Code,HHS Region Name,State FIPS and Congressional District Number Code,Housing Cost Burden,Ratio of population to primary care physicians,Mental Health Providers,Premature Mortality,Infant Mortality,Total Population,PM10 24-hr (ug/m3),Drinking Water Violations,RISK_VALUE,RISK_SCORE,RISK_RATNG,OID_,NRI_ID,Food Insecurity,Heart Disease Mortality,Preventable Hospital Stays,Poor or Fair Health,State FIPS Code,County FIPS Code,5-digit FIPS Code
52112,"Abbeville County, South Carolina",13391.0,265.0,563.0,5496.0,16882.0,17.5,24191.0,7636.0,173.0,3666.0,557.0,0500000US45001,South Carolina,Abbeville County,SC,H80CS00785,Abbeville,4,Region 4,4503,0.1058718861,1869.1538462,0.0006158647,564.94138246,,24356.0,,1.0,4574966.245231733,38.6891504931594,Very Low,2318,C45001,0.096,354.9,2519.0,0.2,45,1,45001
45266,"Acadia Parish, Louisiana",32909.0,1913.0,932.0,9227.0,44296.0,18.6,56494.0,17122.0,656.0,7170.0,2065.0,0500000US22001,Louisiana,Acadia Parish,LA,H80CS00558,Acadia,6,Region 6,2203,0.11006651,2728.0,0.0012512336,652.05630031,5.8120225839,56744.0,,1.0,47478504.31807495,90.51861279032772,Relatively Moderate,1115,C22001,0.16,538.4,3536.0,0.224,22,1,22001
57500,"Accomack County, Virginia",17693.0,565.0,997.0,8382.0,20240.0,10.1,32814.0,11825.0,161.0,4116.0,978.0,0500000US51001,Virginia,Accomack County,VA,H80CS00791,Accomack,3,Region 3,5102,0.1183008526,2770.5,0.0012955319,536.96065031,9.4711917916,33191.0,,1.0,42786430.0296976,89.5641107222399,Relatively Moderate,2822,C51001,0.097,421.9,2002.0,0.205,51,1,51001
88907,"Ada County, Idaho",303856.0,8144.0,904.0,79976.0,430629.0,9.9,498757.0,185707.0,2950.0,83757.0,6843.0,0500000US16001,Idaho,Ada County,ID,H80CS00636,Ada,10,Region 10,1602,0.1073448139,1127.6013216,0.0036885222,269.64198075,4.5153868277,518907.0,61,0.0,35156991.24502628,87.94145720649061,Relatively Moderate,553,C16001,0.069,269.5,1316.0,0.115,16,1,16001
88907,"Ada County, Idaho",303856.0,8144.0,904.0,79976.0,430629.0,9.9,498757.0,185707.0,2950.0,83757.0,6843.0,0500000US16001,Idaho,Ada County,ID,H80CS26601,Ada,10,Region 10,1602,0.1073448139,1127.6013216,0.0036885222,269.64198075,4.5153868277,518907.0,61,0.0,35156991.24502628,87.94145720649061,Relatively Moderate,553,C16001,0.069,269.5,1316.0,0.115,16,1,16001
50316,"Adair County, Kentucky",10418.0,623.0,499.0,3735.0,17366.0,9.4,18759.0,5916.0,390.0,2803.0,444.0,0500000US21001,Kentucky,Adair County,KY,H80CS08218,Adair,4,Region 4,2101,0.0891551268,3786.4,0.002727225,540.49801366,,19067.0,,0.0,4245694.965113262,36.080178173719375,Very Low,995,C21001,0.137,430.1,3499.0,0.226,21,1,21001
56583,"Adair County, Missouri",14950.0,545.0,1048.0,3823.0,22424.0,5.1,25025.0,7301.0,152.0,2496.0,648.0,0500000US29001,Missouri,Adair County,MO,H80CS00731,Adair,7,Region 7,2906,0.1227541148,572.38636364,0.0029008544,473.63206452,,25165.0,,1.0,6534910.755593394,51.543111676741965,Relatively Low,1485,C29001,0.129,309.1,2520.0,0.192,29,1,29001
48028,"Adair County, Oklahoma",11245.0,553.0,634.0,3099.0,7916.0,13.7,19342.0,4272.0,186.0,2640.0,670.0,0500000US40001,Oklahoma,Adair County,OK,H80CS00848,Adair,6,Region 6,4002,0.1108280255,3882.8,0.002503065,722.92191602,9.5419847328,19576.0,54,0.0,10621748.272492692,66.2424435252943,Relatively Low,2133,C40001,0.175,624.1,5556.0,0.289,40,1,40001
48028,"Adair County, Oklahoma",11245.0,553.0,634.0,3099.0,7916.0,13.7,19342.0,4272.0,186.0,2640.0,670.0,0500000US40001,Oklahoma,Adair County,OK,H80CS04286,Adair,6,Region 6,4002,0.1108280255,3882.8,0.002503065,722.92191602,9.5419847328,19576.0,54,0.0,10621748.272492692,66.2424435252943,Relatively Low,2133,C40001,0.175,624.1,5556.0,0.289,40,1,40001
91387,"Adams County, Colorado",332177.0,13434.0,546.0,57841.0,315627.0,16.8,521069.0,170406.0,6197.0,80885.0,9040.0,0500000US08001,Colorado,Adams County,CO,H80CS00801,Adams,8,Region 8,808,0.1481051817,1926.7158672,0.0039975359,373.09112523,5.4943827753,527575.0,89,1.0,80519228.84247276,94.17753738466432,Relatively Moderate,246,C08001,0.09,270.6,2015.0,0.162,8,1,8001
